VEHICLE CLASS,variable,valor
COMPACT,ENGINE SIZE,1.8
COMPACT,CYLINDERS,4
COMPACT,FUEL CONSUMPTION,12.9
COMPACT,COEMISSIONS,251
COMPACT,EficienciaEmisiones,19.45736434108527
COMPACT,ENGINE SIZE,1.8
COMPACT,CYLINDERS,4
COMPACT,FUEL CONSUMPTION,11.1
COMPACT,COEMISSIONS,223
COMPACT,EficienciaEmisiones,20.09009009009009
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,14.6
COMPACT,COEMISSIONS,285
COMPACT,EficienciaEmisiones,19.52054794520548
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.2
COMPACT,COEMISSIONS,260
COMPACT,EficienciaEmisiones,19.6969696969697
COMPACT,ENGINE SIZE,1.8
COMPACT,CYLINDERS,4
COMPACT,FUEL CONSUMPTION,13.6
COMPACT,COEMISSIONS,267
COMPACT,EficienciaEmisiones,19.63235294117647
COMPACT,ENGINE SIZE,1.8
COMPACT,CYLINDERS,4
COMPACT,FUEL CONSUMPTION,12.1
COMPACT,COEMISSIONS,246
COMPACT,EficienciaEmisiones,20.330578512396695
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,14.9
COMPACT,COEMISSIONS,292
COMPACT,EficienciaEmisiones,19.59731543624161
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,14.3
COMPACT,COEMISSIONS,288
COMPACT,EficienciaEmisiones,20.13986013986014
MID-SIZE,ENGINE SIZE,2.8
MID-SIZE,CYLINDERS,6
MID-SIZE,FUEL CONSUMPTION,15
MID-SIZE,COEMISSIONS,294
MID-SIZE,EficienciaEmisiones,19.6
STATION WAGON - MID-SIZE,ENGINE SIZE,2.8
STATION WAGON - MID-SIZE,CYLINDERS,6
STATION WAGON - MID-SIZE,FUEL CONSUMPTION,15.4
STATION WAGON - MID-SIZE,COEMISSIONS,306
STATION WAGON - MID-SIZE,EficienciaEmisiones,19.87012987012987
MID-SIZE,ENGINE SIZE,2.7
MID-SIZE,CYLINDERS,6
MID-SIZE,FUEL CONSUMPTION,15.2
MID-SIZE,COEMISSIONS,304
MID-SIZE,EficienciaEmisiones,20
MID-SIZE,ENGINE SIZE,2.7
MID-SIZE,CYLINDERS,6
MID-SIZE,FUEL CONSUMPTION,15.2
MID-SIZE,COEMISSIONS,304
MID-SIZE,EficienciaEmisiones,20
MID-SIZE,ENGINE SIZE,2.8
MID-SIZE,CYLINDERS,6
MID-SIZE,FUEL CONSUMPTION,15.4
MID-SIZE,COEMISSIONS,306
MID-SIZE,EficienciaEmisiones,19.87012987012987
MID-SIZE,ENGINE SIZE,2.8
MID-SIZE,CYLINDERS,6
MID-SIZE,FUEL CONSUMPTION,14.6
MID-SIZE,COEMISSIONS,297
MID-SIZE,EficienciaEmisiones,20.34246575342466
MID-SIZE,ENGINE SIZE,4.2
MID-SIZE,CYLINDERS,8
MID-SIZE,FUEL CONSUMPTION,15.5
MID-SIZE,COEMISSIONS,308
MID-SIZE,EficienciaEmisiones,19.870967741935484
MID-SIZE,ENGINE SIZE,4.2
MID-SIZE,CYLINDERS,8
MID-SIZE,FUEL CONSUMPTION,15.5
MID-SIZE,COEMISSIONS,308
MID-SIZE,EficienciaEmisiones,19.870967741935484
COMPACT,ENGINE SIZE,2.7
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,15.2
COMPACT,COEMISSIONS,304
COMPACT,EficienciaEmisiones,20
COMPACT,ENGINE SIZE,2.7
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,15.2
COMPACT,COEMISSIONS,304
COMPACT,EficienciaEmisiones,20
MINICOMPACT,ENGINE SIZE,1.8
MINICOMPACT,CYLINDERS,4
MINICOMPACT,FUEL CONSUMPTION,13.1
MINICOMPACT,COEMISSIONS,260
MINICOMPACT,EficienciaEmisiones,19.84732824427481
MINICOMPACT,ENGINE SIZE,1.8
MINICOMPACT,CYLINDERS,4
MINICOMPACT,FUEL CONSUMPTION,13.1
MINICOMPACT,COEMISSIONS,260
MINICOMPACT,EficienciaEmisiones,19.84732824427481
TWO-SEATER,ENGINE SIZE,1.8
TWO-SEATER,CYLINDERS,4
TWO-SEATER,FUEL CONSUMPTION,12.3
TWO-SEATER,COEMISSIONS,246
TWO-SEATER,EficienciaEmisiones,20
TWO-SEATER,ENGINE SIZE,1.8
TWO-SEATER,CYLINDERS,4
TWO-SEATER,FUEL CONSUMPTION,13.1
TWO-SEATER,COEMISSIONS,260
TWO-SEATER,EficienciaEmisiones,19.84732824427481
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,14.6
COMPACT,COEMISSIONS,292
COMPACT,EficienciaEmisiones,20
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.9
COMPACT,COEMISSIONS,281
COMPACT,EficienciaEmisiones,20.215827338129497
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.8
COMPACT,COEMISSIONS,271
COMPACT,EficienciaEmisiones,19.63768115942029
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13
COMPACT,COEMISSIONS,258
COMPACT,EficienciaEmisiones,19.846153846153847
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.8
COMPACT,COEMISSIONS,271
COMPACT,EficienciaEmisiones,19.63768115942029
COMPACT,ENGINE SIZE,2.5
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13
COMPACT,COEMISSIONS,258
COMPACT,EficienciaEmisiones,19.846153846153847
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.9
COMPACT,COEMISSIONS,274
COMPACT,EficienciaEmisiones,19.712230215827336
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13
COMPACT,COEMISSIONS,258
COMPACT,EficienciaEmisiones,19.846153846153847
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13.9
COMPACT,COEMISSIONS,274
COMPACT,EficienciaEmisiones,19.712230215827336
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13
COMPACT,COEMISSIONS,258
COMPACT,EficienciaEmisiones,19.846153846153847
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,14.6
COMPACT,COEMISSIONS,288
COMPACT,EficienciaEmisiones,19.726027397260275
COMPACT,ENGINE SIZE,2.8
COMPACT,CYLINDERS,6
COMPACT,FUEL CONSUMPTION,13
COMPACT,COEMISSIONS,258
COMPACT,EficienciaEmisiones,19.846153846153847
STATION WAGON - SMALL,ENGINE SIZE,2.8
STATION WAGON - SMALL,CYLINDERS,6
STATION WAGON - SMALL,FUEL CONSUMPTION,14.6
STATION WAGON - SMALL,COEMISSIONS,288
STATION WAGON - SMALL,EficienciaEmisiones,19.726027397260275
STATION WAGON - SMALL,ENGINE SIZE,2.8
STATION WAGON - SMALL,CYLINDERS,6
STATION WAGON - SMALL,FUEL CONSUMPTION,14.5
STATION WAGON - SMALL,COEMISSIONS,285
STATION WAGON - SMALL,EficienciaEmisiones,19.655172413793103
COMPACT,ENGINE SIZE,4.4
COMPACT,CYLINDERS,8
COMPACT,FUEL CONSUMPTION,14.7
COMPACT,COEMISSIONS,294
COMPACT,EficienciaEmisiones,20
COMPACT,ENGINE SIZE,4.4
COMPACT,CYLINDERS,8
COMPACT,FUEL CONSUMPTION,16.4
COMPACT,COEMISSIONS,317
COMPACT,EficienciaEmisiones,19.32926829268293
STATION WAGON - SMALL,ENGINE SIZE,4.4
STATION WAGON - SMALL,CYLINDERS,8
STATION WAGON - SMALL,FUEL CONSUMPTION,15.5
STATION WAGON - SMALL,COEMISSIONS,320
STATION WAGON - SMALL,EficienciaEmisiones,20.64516129032258
MID-SIZE,ENGINE SIZE,4.4
MID-SIZE,CYLINDERS,8
MID-SIZE,FUEL CONSUMPTION,15.4
MID-SIZE,COEMISSIONS,308
MID-SIZE,EficienciaEmisiones,20
FULL-SIZE,ENGINE SIZE,4.4
FULL-SIZE,CYLINDERS,8
FULL-SIZE,FUEL CONSUMPTION,15.4
FULL-SIZE,COEMISSIONS,308
FULL-SIZE,EficienciaEmisiones,20
FULL-SIZE,ENGINE SIZE,5.4
FULL-SIZE,CYLINDERS,12
FULL-SIZE,FUEL CONSUMPTION,19.1
FULL-SIZE,COEMISSIONS,373
FULL-SIZE,EficienciaEmisiones,19.52879581151832
TWO-SEATER,ENGINE SIZE,3.2
TWO-SEATER,CYLINDERS,6
TWO-SEATER,FUEL CONSUMPTION,13.9
TWO-SEATER,COEMISSIONS,281
TWO-SEATER,EficienciaEmisiones,20.215827338129497
MINICOMPACT,ENGINE SIZE,3.2
MINICOMPACT,CYLINDERS,6
MINICOMPACT,FUEL CONSUMPTION,13.9
MINICOMPACT,COEMISSIONS,281
MINICOMPACT,EficienciaEmisiones,20.215827338129497
COMPACT,ENGINE SIZE,4.9
COMPACT,CYLINDERS,8
COMPACT,FUEL CONSUMPTION,19.6
COMPACT,COEMISSIONS,375
COMPACT,EficienciaEmisiones,19.132653061224488
SUV,ENGINE SIZE,4.4
SUV,CYLINDERS,8
SUV,FUEL CONSUMPTION,14.9
SUV,COEMISSIONS,294
SUV,EficienciaEmisiones,19.731543624161073
SUBCOMPACT,ENGINE SIZE,2.5
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,14
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,19.857142857142858
SUBCOMPACT,ENGINE SIZE,2.5
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.4
SUBCOMPACT,COEMISSIONS,267
SUBCOMPACT,EficienciaEmisiones,19.925373134328357
SUBCOMPACT,ENGINE SIZE,2.8
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.9
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,20
SUBCOMPACT,ENGINE SIZE,2.8
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.9
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,20
TWO-SEATER,ENGINE SIZE,4.9
TWO-SEATER,CYLINDERS,8
TWO-SEATER,FUEL CONSUMPTION,19.3
TWO-SEATER,COEMISSIONS,380
TWO-SEATER,EficienciaEmisiones,19.689119170984455
